Year,Y,A1,A2,A3,A4,B1,B2,B3,B4
1990,0,0.1,1,10,35,0.1,1,10,35
1991,0,0.1,1,10,35,0.1,1,10,35
1992,0,0.1,1,10,35,0.1,1,10,35
1993,0,0.1,1,10,35,0.1,1,10,35
1994,0,0.1,1,10,35,0.1,1,10,35
1995,0,0.1,1,10,35,0.1,1,10,35
1996,0,0.1,1,10,35,0.1,1,10,35
1997,0,0.1,1,10,35,0.1,1,10,35
1998,0,0.1,1,10,35,0.1,1,10,35
1999,0,0.1,1,10,35,0.1,1,10,35
2000,0,0.1,1,10,35,0.1,1,10,35
2001,0,0.1,1,10,35,0.1,1,10,35
2002,0,0.1,1,10,35,0.1,1,10,35
2003,0,0.1,1,10,35,0.1,1,10,35
2004,0,0.1,1,10,35,0.1,1,10,35
2005,0,0.1,1,10,35,0.1,1,10,35
2006,0,0.1,1,10,35,0.1,1,10,35
2007,0,0.1,1,10,35,0.1,1,10,35
2008,0,0.1,1,10,35,0.1,1,10,35
2009,0,0.1,1,10,35,0.1,1,10,35
2010,0,0.1,1,10,35,0,0,0,0
2011,0,0.1,1,10,35,0,0,0,0
2012,0,0.1,1,10,35,0,0,0,0
2013,0,0.1,1,10,35,0,0,0,0
2014,0,0.1,1,10,35,0,0,0,0
2015,0,0.1,1,10,35,0,0,0,0
2016,0,0.1,1,10,35,0,0,0,0
