# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-11-13 14:50:57 EST       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 05427965 SPRING HARBOR STORM SEWER AT MADISON, WI
# -----------------------------------------------------------------------------------
#
# Data provided for site 05427965
#            TS   parameter     statistic     Description
#        225457       00940     00003     Chloride, water, filtered, milligrams per liter (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	225457_00940_00003	225457_00940_00003_cd
5s	15s	20d	14n	10s
USGS	05427965	2014-02-20	3010	A
USGS	05427965	2014-02-21	1580	A
USGS	05427965	2014-02-22	1630	A
USGS	05427965	2014-02-23	1340	A
USGS	05427965	2014-02-24	1370	A
USGS	05427965	2014-02-25	1460	A
USGS	05427965	2014-02-26	1380	A
USGS	05427965	2014-02-27	1310	A
USGS	05427965	2014-02-28	1150	A
USGS	05427965	2014-03-01	910	A
USGS	05427965	2014-03-02	738	A
USGS	05427965	2014-03-03	516	A
USGS	05427965	2014-03-04	1160	A
USGS	05427965	2014-03-05	4130	A
USGS	05427965	2014-03-06	4820	A
USGS	05427965	2014-03-07	3370	A
USGS	05427965	2014-03-08	3560	A
USGS	05427965	2014-03-09	2140	A
USGS	05427965	2014-03-10	1490	A
USGS	05427965	2014-03-11	1120	A
USGS	05427965	2014-03-12	1220	A
USGS	05427965	2014-03-13	1080	A
USGS	05427965	2014-03-14	596	A
USGS	05427965	2014-03-15	750	A
USGS	05427965	2014-03-16	725	A
USGS	05427965	2014-03-17	747	A
USGS	05427965	2014-03-18	581	A
USGS	05427965	2014-03-19	552	A
USGS	05427965	2014-03-20	583	A
USGS	05427965	2014-03-21	484	A
USGS	05427965	2014-03-22	562	A
USGS	05427965	2014-03-23	601	A
USGS	05427965	2014-03-24	581	A
USGS	05427965	2014-03-25	555	A
USGS	05427965	2014-03-26	494	A
USGS	05427965	2014-03-27	1080	A
USGS	05427965	2014-03-28	452	A
USGS	05427965	2014-03-29	456	A
USGS	05427965	2014-03-30	423	A
USGS	05427965	2014-03-31	374	A
USGS	05427965	2014-04-01	381	A
USGS	05427965	2014-04-02	368	A
USGS	05427965	2014-04-03	354	A
USGS	05427965	2014-04-04	581	A
USGS	05427965	2014-04-05	765	A
USGS	05427965	2014-04-06	670	A
USGS	05427965	2014-04-07	751	A
USGS	05427965	2014-04-08	1260	A
USGS	05427965	2014-04-09	1050	A
USGS	05427965	2014-04-10	824	A
USGS	05427965	2014-04-11	858	A
USGS	05427965	2014-04-12	768	A
USGS	05427965	2014-04-13	488	A
USGS	05427965	2014-04-14	176	A
USGS	05427965	2014-04-15	191	A
USGS	05427965	2014-04-16	206	A
USGS	05427965	2014-04-17	264	A
USGS	05427965	2014-04-18	255	A
USGS	05427965	2014-04-19	299	A
USGS	05427965	2014-04-20	275	A
USGS	05427965	2014-04-21	331	A
USGS	05427965	2014-04-22	351	A
USGS	05427965	2014-04-23	331	A
USGS	05427965	2014-04-24	153	A
USGS	05427965	2014-04-25	213	A
USGS	05427965	2014-04-26	224	A
USGS	05427965	2014-04-27	191	A
USGS	05427965	2014-04-28	139	A
USGS	05427965	2014-04-29	114	A
USGS	05427965	2014-04-30	119	A
