Date,Mean_Daily_Discharge_cfs,Mean_Daily_Discharge_cms,Discharge_Scaled
2001-12-27,56.1,1.588575094,3.177150188
2001-12-28,55.4,1.568753301,3.137506602
2001-12-29,54.3,1.53760477,3.07520954
2001-12-30,54,1.529109716,3.058219432
2001-12-31,53.5,1.514951293,3.029902585
2002-01-01,56,1.585743409,3.171486818
2002-01-02,55,1.557426563,3.114853125
2002-01-03,54,1.529109716,3.058219432
2002-01-04,52.6,1.489466131,2.978932261
2002-01-05,55.2,1.563089932,3.126179864
2002-01-06,53.6,1.517782977,3.035565955
2002-01-07,48.5,1.37336706,2.746734119
2002-01-08,54.4,1.540436455,3.080872909
2002-01-09,61.8,1.749981119,3.499962239
2002-01-10,59.6,1.687684057,3.375368114
2002-01-11,57.5,1.628218679,3.256437358
2002-01-12,55.3,1.565921617,3.131843233
2002-01-13,50.4,1.427169068,2.854338136
2002-01-14,50.9,1.441327492,2.882654983
2002-01-15,47.9,1.356376952,2.712753904
2002-01-16,44.4,1.257267989,2.514535977
2002-01-17,38.7,1.095861963,2.191723926
2002-01-18,38.6,1.093030278,2.186060557
2002-01-19,39.7,1.12417881,2.248357619
2002-01-20,41.7,1.180812503,2.361625006
2002-01-21,46,1.302574943,2.605149886
2002-01-22,42.4,1.200634296,2.401268591
2002-01-23,49.6,1.404515591,2.809031182
2002-01-24,47.2,1.336555159,2.673110318
2002-01-25,47.2,1.336555159,2.673110318
2002-01-26,61.5,1.741486065,3.482972131
2002-01-27,54.1,1.531941401,3.063882801
2002-01-28,60.9,1.724495957,3.448991915
2002-01-29,43.9,1.243109565,2.486219131
2002-01-30,42.7,1.209129349,2.418258699
2002-01-31,48.3,1.36770369,2.735407381
2002-02-01,39,1.104357017,2.208714034
2002-02-02,37.6,1.064713432,2.129426864
2002-02-03,44.5,1.260099673,2.520199347
2002-02-04,44,1.24594125,2.4918825
2002-02-05,46,1.302574943,2.605149886
2002-02-06,40.2,1.138337233,2.276674466
2002-02-07,44.7,1.265763043,2.531526085
2002-02-08,48.2,1.364872006,2.729744011
2002-02-09,56.2,1.591406778,3.182813557
2002-02-10,71,2.010496108,4.020992216
2002-02-11,39.5,1.11851544,2.237030881
2002-02-12,82.8,2.344634898,4.689269796
2002-02-13,36.9,1.044891639,2.089783278
2002-02-14,42.1,1.192139242,2.384278483
2002-02-15,76.8,2.174733818,4.349467637
2002-02-16,66.4,1.880238614,3.760477227
2002-02-17,47.7,1.350713582,2.701427165
2002-02-18,50.1,1.418674014,2.837348029
2002-02-19,116,3.284754205,6.569508409
2002-02-20,176,4.983765,9.96753
2002-02-21,206,5.833270398,11.6665408
2002-02-22,116,3.284754205,6.569508409
2002-02-23,74.2,2.101110017,4.202220034
2002-02-24,96.9,2.743902435,5.48780487
2002-02-25,100,2.831684659,5.663369318
2002-02-26,68.6,1.942535676,3.885071352
2002-02-27,70.2,1.987842631,3.975685262
2002-02-28,66.1,1.87174356,3.743487119
2002-03-01,60.9,1.724495957,3.448991915
2002-03-02,66.6,1.885901983,3.771803966
2002-03-03,48.3,1.36770369,2.735407381
2002-03-04,54,1.529109716,3.058219432
2002-03-05,52.6,1.489466131,2.978932261
2002-03-06,54.3,1.53760477,3.07520954
2002-03-07,55.9,1.582911724,3.165823449
2002-03-08,77.3,2.188892242,4.377784483
2002-03-09,148,4.190893296,8.381786591
2002-03-10,157,4.445744915,8.89148983
2002-03-11,96.8,2.74107075,5.4821415
2002-03-12,78,2.208714034,4.417428068
2002-03-13,87.2,2.469229023,4.938458046
2002-03-14,101,2.860001506,5.720003012
2002-03-15,65.1,1.843426713,3.686853426
2002-03-16,72.9,2.064298117,4.128596233
2002-03-17,68.8,1.948199046,3.896398091
2002-03-18,68.4,1.936872307,3.873744614
2002-03-19,70.8,2.004832739,4.009665477
2002-03-20,58.5,1.656535526,3.313071051
2002-03-21,79.8,2.259684358,4.519368716
2002-03-22,63.2,1.789624705,3.579249409
2002-03-23,81.7,2.313486367,4.626972733
2002-03-24,119,3.369704744,6.739409489
2002-03-25,22.9,0.648455787,1.296911574
2002-03-26,45.8,1.296911574,2.593823148
2002-03-27,38,1.07604017,2.152080341
2002-03-28,80,2.265347727,4.530695455
2002-03-29,67.5,1.911387145,3.82277429
2002-03-30,55.6,1.574416671,3.148833341
2002-03-31,73.6,2.084119909,4.168239818
2002-04-01,74.7,2.11526844,4.230536881
2002-04-02,62.9,1.781129651,3.562259301
2002-04-03,61.4,1.738654381,3.477308761
2002-04-04,64.1,1.815109867,3.630219733
2002-04-05,65.6,1.857585136,3.715170273
2002-04-06,30.7,0.86932719,1.738654381
2002-04-07,82.6,2.338971528,4.677943057
2002-04-08,170,4.813863921,9.627727841
2002-04-09,183,5.181982926,10.36396585
2002-04-10,122,3.454655284,6.909310568
2002-04-11,97,2.746734119,5.493468239
2002-04-12,119,3.369704744,6.739409489
2002-04-13,85.3,2.415427014,4.830854029
2002-04-14,74.8,2.118100125,4.23620025
2002-04-15,60.6,1.716000903,3.432001807
2002-04-16,59,1.670693949,3.341387898
2002-04-17,95.6,2.707090534,5.414181068
2002-04-18,41.3,1.169485764,2.338971528
2002-04-19,107,3.029902585,6.059805171
2002-04-20,66.3,1.877406929,3.754813858
2002-04-21,64.6,1.82926829,3.65853658
2002-04-22,64.6,1.82926829,3.65853658
2002-04-23,63.8,1.806614813,3.613229625
2002-04-24,64.4,1.823604921,3.647209841
2002-04-25,78.7,2.228535827,4.457071654
2002-04-26,80.9,2.290832889,4.581665779
2002-04-27,83.1,2.353129952,4.706259904
2002-04-28,84.8,2.401268591,4.802537182
2002-04-29,67.3,1.905723776,3.811447551
2002-04-30,85.1,2.409763645,4.81952729
2002-05-01,83.1,2.353129952,4.706259904
2002-05-02,71.8,2.033149585,4.066299171
2002-05-03,84.1,2.381446798,4.762893597
2002-05-04,62.6,1.772634597,3.545269193
2002-05-05,61.3,1.735822696,3.471645392
2002-05-06,68,1.925545568,3.851091137
2002-05-07,87.5,2.477724077,4.955448154
2002-05-08,45,1.274258097,2.548516193
2002-05-09,73,2.067129801,4.134259602
2002-05-10,145,4.105942756,8.211885512
2002-05-11,87.3,2.472060707,4.944121415
2002-05-12,178,5.040398693,10.08079739
2002-05-13,136,3.851091137,7.702182273
2002-05-14,93.7,2.653288526,5.306577051
2002-05-15,41.4,1.172317449,2.344634898
2002-05-16,104,2.944952046,5.889904091
2002-05-17,68.9,1.95103073,3.90206146
2002-05-18,66.6,1.885901983,3.771803966
2002-05-19,69.8,1.976515892,3.953031784
2002-05-20,51.7,1.463980969,2.927961938
2002-05-21,58.1,1.645208787,3.290417574
2002-05-22,37,1.047723324,2.095446648
2002-05-23,88.1,2.494714185,4.98942837
