Date,Mean_Daily_Discharge_cfs,Mean_Daily_Discharge_cms
2003-11-08 ,94.2,2.667446949
2003-11-09 ,227,6.427924176
2003-11-10 ,228,6.456241023
2003-11-11 ,243,6.880993722
2003-11-12 ,186,5.266933466
2003-11-13 ,255,7.220795881
2003-11-14 ,239,6.767726335
2003-11-15 ,222,6.286339943
2003-11-16 ,208,5.889904091
2003-11-17 ,212,6.003171478
2003-11-18 ,189,5.351884006
2003-11-19 ,215,6.088122017
2003-11-20 ,355,10.05248054
2003-11-21 ,335,9.486143608
2003-11-22 ,331,9.372876222
2003-11-23 ,360,10.19406477
2003-11-24 ,339,9.599410995
2003-11-25 ,291,8.240202358
2003-11-26 ,282,7.985350739
2003-11-27 ,292,8.268519205
2003-11-28 ,319,9.033074063
2003-11-29 ,292,8.268519205
2003-11-30 ,286,8.098618125
2003-12-01 ,309,8.749905597
2003-12-02 ,261,7.390696961
2003-12-03 ,159,4.502378608
2003-12-04 ,107,3.029902585
2003-12-05 ,96.9,2.743902435
2003-12-06 ,91.1,2.579664725
2003-12-07 ,108,3.058219432
2003-12-08 ,114,3.228120511
2003-12-09 ,123,3.482972131
2003-12-10 ,145,4.105942756
2003-12-11 ,105,2.973268892
2003-12-12 ,76.2,2.15774371
2003-12-13 ,86.2,2.440912176
2003-12-14 ,91.8,2.599486517
2003-12-15 ,93.3,2.641961787
2003-12-16 ,108,3.058219432
2003-12-17 ,112,3.171486818
2003-12-18 ,105,2.973268892
2003-12-19 ,120,3.398021591
2003-12-20 ,82,2.321981421
2003-12-21 ,106,3.001585739
2003-12-22 ,95.1,2.692932111
2003-12-23 ,104,2.944952046
2003-12-24 ,96.7,2.738239065
2003-12-25 ,94.6,2.678773688
2003-12-26 ,86.5,2.44940723
2003-12-27 ,95.3,2.69859548
2003-12-28 ,107,3.029902585
2003-12-29 ,101,2.860001506
2003-12-30 ,102,2.888318352
2003-12-31 ,101,2.860001506
2004-01-01 ,88.2,2.497545869
2004-01-02 ,96.9,2.743902435
2004-01-03 ,113,3.199803665
2004-01-04 ,109,3.086536279
2004-01-05 ,128,3.624556364
2004-01-06 ,95.2,2.695763796
2004-01-07 ,90.6,2.565506301
2004-01-08 ,85.5,2.421090384
2004-01-09 ,78.5,2.222872457
2004-01-10 ,80.7,2.28516952
2004-01-11 ,91.5,2.590991463
2004-01-12 ,77.6,2.197387296
2004-01-13 ,71.9,2.03598127
2004-01-14 ,79.9,2.262516043
2004-01-15 ,95.5,2.70425885
2004-01-16 ,88.6,2.508872608
2004-01-17 ,84.5,2.392773537
2004-01-18 ,105,2.973268892
2004-01-19 ,96.5,2.732575696
2004-01-20 ,76.5,2.166238764
2004-01-21 ,83.8,2.372951744
2004-01-22 ,97.5,2.760892543
2004-01-23 ,95.2,2.695763796
2004-01-24 ,85.2,2.41259533
2004-01-25 ,78.7,2.228535827
2004-01-26 ,97.7,2.766555912
2004-01-27 ,81.3,2.302159628
2004-01-28 ,90.6,2.565506301
2004-01-29 ,102,2.888318352
2004-01-30 ,110,3.114853125
2004-01-31 ,90.5,2.562674617
2004-02-01 ,89.2,2.525862716
2004-02-02 ,102,2.888318352
2004-02-03 ,93,2.633466733
2004-02-04 ,92.3,2.61364494
2004-02-05 ,96.4,2.729744011
2004-02-06 ,99,2.803367813
2004-02-07 ,95.4,2.701427165
2004-02-08 ,95,2.690100426
2004-02-09 ,96.7,2.738239065
2004-02-10 ,105,2.973268892
2004-02-11 ,93.9,2.658951895
2004-02-12 ,93,2.633466733
2004-02-13 ,93.3,2.641961787
2004-02-14 ,93,2.633466733
2004-02-15 ,96.4,2.729744011
2004-02-16 ,97.9,2.772219281
2004-02-17 ,95.2,2.695763796
2004-02-18 ,100,2.831684659
2004-02-19 ,93.1,2.636298418
2004-02-20 ,126,3.567922671
2004-02-21 ,91.5,2.590991463
2004-02-22 ,95.3,2.69859548
2004-02-23 ,98,2.775050966
2004-02-24 ,87.1,2.466397338
2004-02-25 ,75.7,2.143585287
2004-02-26 ,42.6,1.206297665
2004-02-27 ,41.1,1.163822395
2004-02-28 ,46.3,1.311069997
2004-02-29 ,43.7,1.237446196
2004-03-01 ,52.9,1.497961185
2004-03-02 ,44.4,1.257267989
2004-03-03 ,38,1.07604017
2004-03-04 ,56.2,1.591406778
2004-03-05 ,77,2.180397188
2004-03-06 ,53.1,1.503624554
2004-03-07 ,60.1,1.70184248
2004-03-08 ,62.5,1.769802912
2004-03-09 ,82.8,2.344634898
2004-03-10 ,88.9,2.517367662
