year,total.flow,residencetime
1989,59.148229156,99.18583785819987
1990,337.599108438,17.37761303283797
1991,316.689948911,18.524953781578294
1992,357.460544638,16.41206772234915
1993,855.961638763,6.853889708357641
1994,622.630822827,9.422383941786865
1995,466.378463335,12.579197214028804
1996,534.678697314,10.972321688031192
1997,507.26798983599997,11.565221508582402
1998,508.910366922,11.527897735999241
1999,446.386769667,13.142563949740582
2000,521.539680508,11.248744603578976
2001,542.720681768,10.809734848421579
2002,427.641017214,13.718671573851559
2003,342.757871561,17.116066919042545
2004,538.926224312,10.885843742631241
2005,449.959789367,13.038202091168742
2006,393.938306409,14.892348804931135
2007,584.8759713110001,10.030616668208353
2008,1091.004491246,5.377307530573537
2009,986.740163074,5.945503067788577
2010,832.413349165,7.047780615906225
2011,646.655968184,9.072315041245178
2012,357.860944841,16.39370473711029
2013,758.093519933,7.7387110065063744
2014,621.74167387,9.435858835309997
2015,462.091859124,12.69588838415865
2016,684.350221704,8.572608703273218
2017,868.947744613,6.751460836438999
2018,847.016913292,6.926268619436879
2019,1066.933472619,5.498624625831419
