"","time","FLOW","SALT","TEMP"
"1",1989-10-01,1.24594125,10,17.21717565
"2",1989-10-02,1.24594125,10,17.0469884
"3",1989-10-03,1.24594125,10,16.87228667
"4",1989-10-04,1.359208636,10,16.66901669
"5",1989-10-05,2.378615114,10,16.22308015
"6",1989-10-06,1.812278182,10,15.92226184
"7",1989-10-07,1.58574341,10,15.75096707
"8",1989-10-08,1.472476022,10,15.58090155
"9",1989-10-09,1.359208636,10,15.40160816
"10",1989-10-10,1.472476022,10,15.18997402
"11",1989-10-11,1.359208636,10,14.99316671
"12",1989-10-12,1.359208636,10,14.81323409
"13",1989-10-13,1.359208636,10,14.63858931
"14",1989-10-14,1.24594125,10,14.4648425
"15",1989-10-15,1.24594125,10,14.25007168
"16",1989-10-16,2.83168466,10,13.78854865
"17",1989-10-17,1.812278182,10,13.50113578
"18",1989-10-18,1.58574341,10,13.3207126
"19",1989-10-19,1.472476022,10,13.14039713
"20",1989-10-20,1.359208636,10,12.93228061
"21",1989-10-21,1.359208636,10,12.72086832
"22",1989-10-22,1.472476022,10,12.52978898
"23",1989-10-23,1.24594125,10,12.34616185
"24",1989-10-24,1.359208636,10,12.16252112
"25",1989-10-25,1.359208636,10,11.98514264
"26",1989-10-26,1.24594125,10,11.79188705
"27",1989-10-27,1.359208636,10,11.60608358
"28",1989-10-28,1.24594125,10,11.43732139
"29",1989-10-29,1.359208636,10,11.21975622
"30",1989-10-30,1.472476022,10,10.789984
"31",1989-10-31,1.58574341,10,10.43382951
"32",1989-11-01,1.472476022,10,10.24170563
"33",1989-11-02,1.472476022,10,10.07872291
"34",1989-11-03,1.359208636,10,9.898052714
"35",1989-11-04,1.359208636,10,9.701207396
"36",1989-11-05,1.359208636,10,9.512194578
"37",1989-11-06,1.359208636,10,9.292573382
"38",1989-11-07,1.472476022,10,8.963525115
"39",1989-11-08,1.359208636,10,8.698854378
"40",1989-11-09,1.359208636,10,8.500807024
"41",1989-11-10,1.359208636,10,8.271740187
"42",1989-11-11,1.359208636,10,8.052695459
"43",1989-11-12,1.359208636,10,7.875423389
"44",1989-11-13,1.24594125,10,7.698217831
"45",1989-11-14,1.359208636,10,7.515357627
"46",1989-11-15,1.24594125,10,7.333756293
"47",1989-11-16,1.132673864,10,7.145206343
"48",1989-11-17,1.132673864,10,6.961085448
"49",1989-11-18,1.132673864,10,6.773866477
"50",1989-11-19,1.132673864,10,6.576749111
"51",1989-11-20,1.132673864,10,6.399295778
"52",1989-11-21,1.132673864,10,6.255871384
"53",1989-11-22,1.24594125,10,6.073240492
"54",1989-11-23,1.24594125,10,5.89477077
"55",1989-11-24,1.24594125,10,5.688496511
"56",1989-11-25,1.24594125,10,5.496479686
"57",1989-11-26,1.24594125,10,5.322036698
"58",1989-11-27,1.359208636,10,5.057172637
"59",1989-11-28,1.472476022,10,4.812685972
"60",1989-11-29,1.472476022,10,4.654971925
"61",1989-11-30,1.359208636,10,4.513811414
"62",1989-12-01,1.24594125,10,4.369577467
"63",1989-12-02,1.24594125,10,4.225308202
"64",1989-12-03,1.24594125,10,4.0744583
"65",1989-12-04,1.132673864,10,3.925344795
"66",1989-12-05,1.132673864,10,3.773028061
"67",1989-12-06,1.132673864,10,3.629341694
"68",1989-12-07,1.132673864,10,3.491677351
"69",1989-12-08,1.110020386,10,3.357419156
"70",1989-12-09,1.110020386,10,3.228974933
"71",1989-12-10,1.132673864,10,3.103027573
"72",1989-12-11,1.24594125,10,2.978051611
"73",1989-12-12,1.110020386,10,2.860888664
"74",1989-12-13,1.08736691,10,2.749707905
"75",1989-12-14,1.08736691,10,2.627049655
"76",1989-12-15,1.08736691,10,2.510876863
"77",1989-12-16,1.064713432,10,2.391714602
"78",1989-12-17,1.042059954,10,2.279902469
"79",1989-12-18,1.019406478,10,2.171455007
"80",1989-12-19,1.019406478,10,2.065157026
"81",1989-12-20,0.996753,10,1.962002345
"82",1989-12-21,0.996753,10,1.861814553
"83",1989-12-22,0.996753,10,1.764145597
"84",1989-12-23,0.996753,10,1.668773942
"85",1989-12-24,0.996753,10,1.582454061
"86",1989-12-25,0.996753,10,1.497004304
"87",1989-12-26,0.974099522,10,1.411045318
"88",1989-12-27,0.974099522,10,1.317137268
"89",1989-12-28,0.996753,10,1.237940394
"90",1989-12-29,0.996753,10,1.165621859
"91",1989-12-30,0.974099522,10,1.102570028
"92",1989-12-31,0.951446046,10,1.025246934
"93",1990-01-01,0.951446046,10,0.947929842
"94",1990-01-02,0.951446046,10,0.886067759
"95",1990-01-03,1.019406478,10,0.871162441
"96",1990-01-04,1.019406478,10,0.771057984
"97",1990-01-05,0.996753,10,0.623829038
"98",1990-01-06,0.996753,10,0.564325358
"99",1990-01-07,1.019406478,10,0.521533999
"100",1990-01-08,1.132673864,10,0.480623024
"101",1990-01-09,1.472476022,10,0.380822243
"102",1990-01-10,1.58574341,10,0.30422912
"103",1990-01-11,1.359208636,10,0.263722699
"104",1990-01-12,1.24594125,10,0.237061269
"105",1990-01-13,1.132673864,10,0.215851627
"106",1990-01-14,1.132673864,10,0.171157669
"107",1990-01-15,1.110020386,10,0.071922685
"108",1990-01-16,1.132673864,10,-0.086083444
"109",1990-01-17,7.928717046,10,-0.307405411
