Date,Mean_Daily_Discharge_cfs,Mean_Daily_Discharge_cms,Discharge_Scaled
1976-02-01,12,0.339802159,0.679604318
1976-02-02,12,0.339802159,0.679604318
1976-02-03,11,0.311485313,0.622970625
1976-02-04,11,0.311485313,0.622970625
1976-02-05,11,0.311485313,0.622970625
1976-02-06,11,0.311485313,0.622970625
1976-02-07,11,0.311485313,0.622970625
1976-02-08,15,0.424752699,0.849505398
1976-02-09,30,0.849505398,1.699010796
1976-02-10,40,1.132673864,2.265347727
1976-02-11,45,1.274258097,2.548516193
1976-02-12,38,1.07604017,2.152080341
1976-02-13,28,0.792871705,1.585743409
1976-02-14,17,0.481386392,0.962772784
1976-02-15,44,1.24594125,2.4918825
1976-02-16,27,0.764554858,1.529109716
1976-02-17,21,0.594653778,1.189307557
1976-02-18,24,0.679604318,1.359208636
1976-02-19,21,0.594653778,1.189307557
1976-02-20,19,0.538020085,1.07604017
1976-02-21,19,0.538020085,1.07604017
1976-02-22,18,0.509703239,1.019406477
1976-02-23,19,0.538020085,1.07604017
1976-02-24,17,0.481386392,0.962772784
1976-02-25,19,0.538020085,1.07604017
1976-02-26,26,0.736238011,1.472476023
1976-02-27,67,1.897228722,3.794457443
1976-02-28,74,2.095446648,4.190893296
1976-02-29,55,1.557426563,3.114853125
1976-03-01,34,0.962772784,1.925545568
1976-03-02,25,0.707921165,1.41584233
1976-03-03,21,0.594653778,1.189307557
1976-03-04,45,1.274258097,2.548516193
1976-03-05,203,5.748319858,11.49663972
1976-03-06,252,7.135845341,14.27169068
1976-03-07,150,4.247526989,8.495053978
1976-03-08,100,2.831684659,5.663369318
1976-03-09,82,2.321981421,4.643962841
1976-03-10,78,2.208714034,4.417428068
1976-03-11,160,4.530695455,9.061390909
1976-03-12,384,10.87366909,21.74733818
1976-03-13,456,12.91248205,25.82496409
1976-03-14,404,11.44000602,22.88001205
1976-03-15,216,6.116438864,12.23287773
1976-03-16,126,3.567922671,7.135845341
1976-03-17,67,1.897228722,3.794457443
1976-03-18,98,2.775050966,5.550101932
1976-03-19,257,7.277429574,14.55485915
1976-03-20,384,10.87366909,21.74733818
1976-03-21,249,7.050894801,14.1017896
1976-03-22,80,2.265347727,4.530695455
1976-03-23,35,0.991089631,1.982179261
1976-03-24,29,0.821188551,1.642377102
1976-03-25,26,0.736238011,1.472476023
1976-03-26,28,0.792871705,1.585743409
1976-03-27,55,1.557426563,3.114853125
1976-03-28,31,0.877822244,1.755644489
1976-03-29,30,0.849505398,1.699010796
1976-03-30,36,1.019406477,2.038812955
1976-03-31,33,0.934455938,1.868911875
1976-04-01,30,0.849505398,1.699010796
1976-04-02,27,0.764554858,1.529109716
1976-04-03,23,0.651287472,1.302574943
1976-04-04,21,0.594653778,1.189307557
1976-04-05,20,0.566336932,1.132673864
1976-04-06,19,0.538020085,1.07604017
1976-04-07,18,0.509703239,1.019406477
1976-04-08,18,0.509703239,1.019406477
1976-04-09,17,0.481386392,0.962772784
1976-04-10,22,0.622970625,1.24594125
1976-04-11,30,0.849505398,1.699010796
1976-04-12,19,0.538020085,1.07604017
1976-04-13,18,0.509703239,1.019406477
1976-04-14,17,0.481386392,0.962772784
1976-04-15,60,1.699010796,3.398021591
