# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-11-04 11:29:57 EST       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 05427965 SPRING HARBOR STORM SEWER AT MADISON, WI
# -----------------------------------------------------------------------------------
#
# Data provided for site 05427965
#            TS   parameter     statistic     Description
#        155018       00060     00003     Discharge, cubic feet per second (Mean)
#        225457       00940     00003     Chloride, water, filtered, milligrams per liter (Mean)
#        225458       70290     00003     Chloride, water, dissolved, short tons per day (Mean)
#        225461       91050     00003     Phosphorus, water, unfiltered, pounds of phosphorus per day (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	155018_00060_00003	155018_00060_00003_cd	225457_00940_00003	225457_00940_00003_cd	225458_70290_00003	225458_70290_00003_cd	225461_91050_00003	225461_91050_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s
USGS	05427965	2014-02-01	0.00	A:e						
USGS	05427965	2014-02-02	-0.00	A:e						
USGS	05427965	2014-02-03	-0.00	A:e						
USGS	05427965	2014-02-04	-0.00	A:e						
USGS	05427965	2014-02-05	-0.00	A:e						
USGS	05427965	2014-02-06	0.00	A:e						
USGS	05427965	2014-02-07	0.00	A:e						
USGS	05427965	2014-02-08	0.00	A:e						
USGS	05427965	2014-02-09	-0.00	A:e						
USGS	05427965	2014-02-10	-0.00	A:e						
USGS	05427965	2014-02-11	-0.00	A:e						
USGS	05427965	2014-02-12	-0.00	A:e						
USGS	05427965	2014-02-13	-0.00	A:e						
USGS	05427965	2014-02-14	-0.00	A:e						
USGS	05427965	2014-02-15	-0.00	A:e						
USGS	05427965	2014-02-16	0.39	A						
USGS	05427965	2014-02-17	0.38	A						
USGS	05427965	2014-02-18	0.32	A						
USGS	05427965	2014-02-19	0.30	A						
USGS	05427965	2014-02-20	7.58	A	3010	A	35.9	A		
USGS	05427965	2014-02-21	4.09	A	1580	A	16.8	A		
USGS	05427965	2014-02-22	0.50	A	1630	A	2.18	A		
USGS	05427965	2014-02-23	0.25	A	1340	A	0.90	A		
USGS	05427965	2014-02-24	0.15	A	1370	A	0.53	A		
USGS	05427965	2014-02-25	0.05	A	1460	A	0.20	A		
